0,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
January,90,84,81,101,76,55,57,57,53,63,55,51,76,63,87,1049
February,75,71,86,82,61,59,49,46,60,55,33,42,74,70,54,917
March,92,78,98,80,67,58,48,52,63,79,59,63,77,58,71,1043
April,110,104,86,88,79,53,61,50,81,78,69,76,70,83,68,1156
May,102,114,94,89,84,84,88,73,88,72,86,86,96,94,95,1345
June,115,110,105,101,86,80,59,80,79,79,77,92,80,101,77,1321
July,106,125,108,116,92,84,79,96,74,87,75,89,90,102,104,1427
August,112,106,97,100,77,75,108,89,96,86,93,92,105,103,89,1428
September,120,101,96,98,71,63,81,87,85,88,82,81,79,98,95,1325
October,101,120,102,93,84,69,84,80,67,80,87,83,105,81,68,1304
November,88,113,101,84,83,81,87,52,71,62,67,70,78,73,76,1186
December,113,107,82,94,90,71,57,73,69,66,62,89,70,72,64,1179
Total,1224,1233,1136,1126,950,832,858,835,886,895,845,914,1000,998,948,14680
