Core Outcome Measures,,3 Year Moving Averages,,,,,,,,,,,,,,,,
,,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018
Traffic Fatalities,Total (C-1),722,709,684,638,603,565,546,522,488,454,457,468,481,506,548,601,629
,Rural,426,415,388,356,343,318,306,288,265,242,236,235,235,244,251,268,267
,Urban,296,294,296,282,260,247,240,234,223,212,221,233,246,261,296,332,361
,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Fatalities Per 100 Million VMT**,Total (C-3),1.69,1.64,1.55,1.4,1.27,1.17,1.13,1.1,1.04,0.97,0.98,1,1.01,1.04,1.08,1.16,
,Rural,2.53,2.59,2.52,2.44,2.27,2.07,1.97,1.89,1.77,1.64,1.59,1.58,1.59,1.66,1.7,1.76,
,Urban,1.14,1.08,1.02,0.91,0.8,0.75,0.73,0.72,0.69,0.66,0.69,0.73,0.75,0.76,0.83,0.9,
Passenger Vehicle Occupant Fatalities  (All Seat Positions),Total,548,546,522,478,435,393,371,350,330,304,299,302,305,324,338,372,
,391,,,,,,,,,,,,,,,,,
,Restrained,198,201,201,199,179,163,162,157,149,124,124,120,129,137,151,163,171
,Unrestrained (C-4),349,343,317,274,250,223,197,178,168,172,168,173,164,174,176,198,207
,Unknown,2,2,4,5,6,7,12,14,14,8,7,9,12,13,11,11,13
Alcohol-Impaired Driving Fatalities (BAC=.08+)*** (C-5),,231,234,216,203,195,184,174,167,151,146,138,145,145,150,158,163,176
Speeding-Related Fatalities (C-6),,316,304,275,235,214,203,205,202,181,172,170,166,161,179,199,219,217
Motorcyclist Fatalities,Total (C-7),77,76,75,79,81,84,87,92,89,83,80,81,87,96,108,111,110
,Helmeted,23,21,19,12,12,17,25,30,28,27,26,28,29,34,38,37,39
,Unhelmeted (C-8),53,54,55,67,69,67,62,62,61,55,52,52,56,61,70,74,71
,Unknown,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Drivers Involved in Fatal Crashes,Total,963,944,934,891,840,786,741,718,655,614,607,616,648,700,784,870,903
,Aged Under 15,2,3,2,1,1,2,2,1,1,1,1,0,1,0,0,1,1
,Aged 15-20,138,142,147,134,120,96,89,78,71,63,64,62,65,66,66,72,77
,,,,,,,,,,,,,,,,,,
,Aged Under 21 (C-9),141,145,149,135,122,98,91,79,72,64,65,62,66,66,67,73,78
,Aged 21 and Over,810,787,772,743,706,679,642,633,578,545,533,545,574,627,708,785,811
,Unknown Age,12,12,13,13,12,9,7,6,6,5,9,8,8,7,9,12,14
Pedestrian Fatalities (C-10),,70,62,65,58,59,55,53,49,42,43,52,57,63,57,67,77,87
Bicyclist and Other Cyclist Fatalities**** (C-11),,9,8,8,7,10,10,11,11,10,9,10,11,12,12,13,15,18
