Core Outcome Measures,,3 Year Moving Averages,,,,,,,,,,,,,,,,
,,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018
Traffic Fatalities,Total (C-1),132,132,142,155,155,141,131,126,125,109,109,111,113,115,115,117,128
,Rural,94,95,102,113,108,102,102,114,107,86,70,70,65,67,63,64,68
,Urban,37,37,40,42,47,38,29,12,18,23,39,41,48,48,52,53,60
,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatalities Per 100 Million VMT**,Total (C-3),1.07,1.05,1.09,1.16,1.14,1.04,0.98,0.96,0.96,0.85,0.84,0.86,0.87,0.88,0.87,0.87,
,Rural,1.3,1.28,1.44,1.73,1.79,1.72,1.74,1.96,1.87,1.52,1.23,1.28,1.22,1.31,1.21,1.2,
,Urban,0.74,0.71,0.67,0.62,0.62,0.51,0.39,0.16,0.25,0.32,0.54,0.55,0.63,0.61,0.65,0.66,
Passenger Vehicle Occupant Fatalities  (All Seat Positions),Total,102,102,106,107,109,97,93,87,89,79,76,76,73,74,76,80,88
,,,,,,,,,,,,,,,,,,
,Restrained,32,34,34,31,30,26,24,27,28,24,20,23,23,25,22,24,24
,Unrestrained (C-4),64,63,70,73,76,68,67,60,61,55,55,53,50,49,54,56,63
,Unknown,6,4,2,2,3,3,2,0,0,0,0,0,0,0,1,1,1
Alcohol-Impaired Driving Fatalities (BAC=.08+)*** (C-5),,45,43,43,47,50,45,42,36,40,34,35,35,35,35,34,33,38
Speeding-Related Fatalities (C-6),,38,36,37,43,46,46,41,40,47,47,47,48,51,56,60,64,69
Motorcyclist Fatalities,Total (C-7),20,14,16,27,31,30,25,25,26,21,24,22,23,22,21,20,21
,Helmeted,6,5,8,10,10,9,9,10,9,6,7,6,7,7,8,9,8
,Unhelmeted (C-8),14,10,8,17,20,21,16,16,17,15,17,16,17,16,13,11,12
,Unknown,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Drivers Involved in Fatal Crashes,Total,182,182,195,209,213,195,185,173,169,144,145,145,147,145,147,152,169
,Aged Under 15,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
,Aged 15-20,21,21,26,28,28,22,22,21,19,14,14,14,13,12,13,15,16
,Aged Under 21 (C-9),21,21,26,29,28,23,22,21,19,14,14,14,13,12,13,15,16
,,,,,,,,,,,,,,,,,,
,Aged 21 and Over,162,160,168,179,185,172,163,152,150,129,131,131,134,133,134,137,153
,Unknown Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Pedestrian Fatalities (C-10),,7,11,13,13,9,8,9,9,8,7,7,8,11,11,12,12,12
Bicyclist and Other Cyclist Fatalities**** (C-11),,1,1,1,2,2,3,2,2,1,2,1,3,2,3,3,2,2
