Core Outcome Measures,,3 Year Moving Averages,,,,,,,,,,,,,,,,
,,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018
Traffic Fatalities,Total (C-1),1518,1529,1506,1474,1461,1407,1341,1243,1199,1177,1184,1184,1141,1126,1073,1061,997
,Rural,803,719,611,573,584,615,634,625,592,562,574,594,546,492,436,464,468
,Urban,713,807,892,899,876,791,707,617,607,614,610,590,595,635,637,597,529
,Unknown,2,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Fatalities Per 100 Million VMT**,Total (C-3),1.16,1.15,1.11,1.07,1.05,1.01,0.98,0.92,0.9,0.9,0.92,0.92,0.88,0.87,0.85,0.85,
,Rural,2.14,1.89,1.58,1.54,1.64,1.82,1.89,1.88,1.79,1.71,1.75,1.81,1.7,1.56,1.5,1.71,
,Urban,0.76,0.85,0.92,0.9,0.84,0.75,0.68,0.61,0.61,0.63,0.63,0.62,0.61,0.65,0.65,0.61,
Passenger Vehicle Occupant Fatalities  (All Seat Positions),Total,956,955,947,905,879,825,773,704,652,625,622,616,,,,,
,595,576,543,544,509,,,,,,,,,,,,,
,Restrained,439,447,460,453,441,413,392,367,345,344,352,349,345,329,314,307,286
,Unrestrained (C-4),429,409,384,346,348,326,294,241,212,196,195,193,182,171,160,165,159
,Unknown,87,99,103,106,90,85,86,96,95,85,75,74,68,75,70,72,64
Alcohol-Impaired Driving Fatalities (BAC=.08+)*** (C-5),,338,360,391,416,428,409,385,347,341,335,343,346,340,332,308,300,297
Speeding-Related Fatalities (C-6),,470,486,478,468,457,441,425,399,372,346,343,351,348,343,328,324,299
Motorcyclist Fatalities,Total (C-7),136,147,148,155,169,175,182,169,174,170,175,170,163,160,149,148,143
,Helmeted,92,109,117,125,137,144,151,141,147,150,155,150,139,139,130,132,129
,Unhelmeted (C-8),36,30,25,24,24,26,29,27,24,16,14,14,17,17,15,11,8
,Unknown,7,8,6,7,7,5,3,1,3,3,6,6,6,4,4,5,7
Drivers Involved in Fatal Crashes,Total,2053,2045,2014,1958,1952,1900,1840,1691,1597,1537,1559,1563,1521,1499,1438,1427,1347
,Aged Under 15,3,3,4,3,2,1,2,1,2,1,1,1,0,1,1,1,1
,,,,,,,,,,,,,,,,,,
,Aged 15-20,274,265,254,233,229,217,207,191,167,149,137,132,122,109,100,101,96
,Aged Under 21 (C-9),276,268,259,236,231,218,209,193,168,150,138,133,123,110,101,101,97
,Aged 21 and Over,1731,1729,1706,1673,1675,1641,1594,1461,1391,1347,1378,1384,1353,1348,1298,1286,1216
,Unknown Age,45,48,50,49,46,41,37,38,38,40,43,46,45,42,39,40,35
Pedestrian Fatalities (C-10),,343,342,329,324,317,303,295,294,303,299,298,309,301,304,294,288,272
Bicyclist and Other Cyclist Fatalities**** (C-11),,39,39,38,42,45,48,46,41,36,41,46,47,44,41,40,40,38
