Core Outcome Measures,,3 Year Moving Averages,,,,,,,,,,,,,,,,
,,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018
Traffic Fatalities,Total (C-1),646,636,608,605,616,618,575,528,491,469,451,443,445,483,516,550,548
,Rural,395,399,387,376,372,372,334,318,286,281,267,256,236,233,238,245,237
,Urban,251,237,221,228,243,245,240,207,200,182,180,186,208,248,276,299,305
,Unknown,0,0,0,1,1,1,0,3,5,6,3,1,1,2,2,5,6
Fatalities Per 100 Million VMT**,Total (C-3),1.2,1.17,1.1,1.09,1.1,1.1,1.02,0.94,0.87,0.82,0.79,0.78,0.78,0.83,0.87,0.91,
,Rural,2.28,2.27,2.25,2.24,2.28,2.25,2.03,1.93,1.72,1.66,1.57,1.55,1.46,1.46,1.45,1.45,
,Urban,0.69,0.64,0.58,0.59,0.61,0.62,0.6,0.52,0.5,0.46,0.45,0.46,0.51,0.59,0.64,0.68,
Passenger Vehicle Occupant Fatalities  (All Seat Positions),Total,502,483,454,441,445,441,403,363,334,312,286,277,281,314,329,343,
,334,,,,,,,,,,,,,,,,,
,Restrained,217,233,235,237,236,233,219,197,187,174,161,154,158,178,182,186,180
,Unrestrained (C-4),269,230,195,182,189,186,160,141,124,115,100,96,98,103,110,109,108
,Unknown,17,20,24,23,20,22,24,25,22,24,25,28,24,33,38,49,47
Alcohol-Impaired Driving Fatalities (BAC=.08+)*** (C-5),,228,221,215,214,220,218,200,195,186,178,156,150,142,143,144,159,166
Speeding-Related Fatalities (C-6),,246,244,240,236,242,242,232,218,201,185,169,172,169,168,158,162,169
Motorcyclist Fatalities,Total (C-7),49,56,62,69,76,74,77,73,74,71,75,76,75,72,75,79,80
,Helmeted,41,47,55,63,71,68,70,65,67,65,71,73,72,69,72,75,77
,Unhelmeted (C-8),8,8,6,5,5,6,7,8,7,5,3,3,3,3,2,2,2
,Unknown,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1
Drivers Involved in Fatal Crashes,Total,861,837,802,801,824,836,786,709,654,619,605,596,602,661,719,783,781
,Aged Under 15,1,1,2,2,2,1,1,1,0,0,0,0,0,1,1,1,0
,Aged 15-20,135,131,122,107,104,107,99,90,76,72,55,57,56,65,64,67,67
,,,,,,,,,,,,,,,,,,
,Aged Under 21 (C-9),135,132,124,109,106,109,100,91,76,72,56,57,56,66,65,68,67
,Aged 21 and Over,718,699,673,686,711,721,680,613,570,539,542,533,540,587,647,704,702
,Unknown Age,8,7,5,6,7,6,6,5,8,8,7,6,6,8,7,10,12
Pedestrian Fatalities (C-10),,69,72,68,69,66,66,63,61,61,61,65,61,65,69,81,90,96
Bicyclist and Other Cyclist Fatalities**** (C-11),,10,10,9,10,9,11,10,11,8,9,10,11,10,11,13,15,16
