Core Outcome Measures,,3 Year Moving Averages,,,,,,,,,,,,,,,,
,,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018
Traffic Fatalities,Total (C-1),171,176,168,166,176,172,168,148,149,141,138,115,120,127,136,127,115
,Rural,153,149,140,139,154,148,145,125,128,115,110,90,98,104,110,102,94
,Urban,18,27,28,27,23,24,23,22,21,26,27,25,22,23,25,24,21
,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Fatalities Per 100 Million VMT**,Total (C-3),2,1.96,1.84,1.81,1.91,1.85,1.79,1.56,1.58,1.5,1.48,1.24,1.28,1.35,1.43,1.32,
,Rural,2.43,2.26,2.11,2.1,2.32,2.21,2.14,1.83,1.9,1.72,1.69,1.39,1.52,1.59,1.69,1.53,
,Urban,0.8,1.14,1.12,1.07,0.87,0.92,0.87,0.85,0.78,0.97,0.98,0.89,0.76,0.78,0.85,0.83,
Passenger Vehicle Occupant Fatalities  (All Seat Positions),Total,144,145,134,130,139,133,129,114,112,106,100,87,93,97,99,88,78
,,,,,,,,,,,,,,,,,,
,Restrained,48,47,48,47,49,48,44,37,33,33,37,32,36,31,32,25,27
,Unrestrained (C-4),93,96,83,80,86,82,81,75,77,70,61,51,53,62,65,61,47
,Unknown,3,2,2,2,4,3,4,2,2,2,3,4,4,3,2,3,4
Alcohol-Impaired Driving Fatalities (BAC=.08+)*** (C-5),,55,58,51,50,56,56,59,54,55,46,44,35,38,43,46,45,38
Speeding-Related Fatalities (C-6),,70,78,73,68,62,59,62,59,59,55,50,44,43,45,41,37,34
Motorcyclist Fatalities,Total (C-7),9,14,15,18,17,19,19,18,22,21,20,12,12,16,21,22,19
,Helmeted,2,3,3,4,4,6,7,7,6,4,4,3,4,6,7,6,6
,Unhelmeted (C-8),7,11,11,14,13,13,12,11,16,16,16,9,8,11,14,15,13
,Unknown,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drivers Involved in Fatal Crashes,Total,194,201,202,200,219,208,206,171,173,165,170,143,151,161,177,163,145
,Aged Under 15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
,Aged 15-20,23,22,25,23,24,23,21,22,20,19,15,14,13,13,13,12,12
,Aged Under 21 (C-9),23,22,25,23,25,23,22,22,20,19,15,14,13,14,14,13,13
,Aged 21 and Over,170,178,176,175,193,185,184,148,153,146,154,128,137,147,163,150,132
,,,,,,,,,,,,,,,,,,
,Unknown Age,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
Pedestrian Fatalities (C-10),,7,5,5,6,5,5,5,4,4,4,5,5,5,5,5,5,5
Bicyclist and Other Cyclist Fatalities**** (C-11),,2,1,1,1,1,1,0,1,1,1,0,0,2,2,2,0,0
