National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994
Motor Vehicle Traffic Crashes,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Fatal Crashes,"33,654","34,560","34,748","32,538","30,056","30,202","31,006","29,867","30,296","30,862","34,172","37,435","38,648","39,252","38,444","38,477","38,491","37,862","37,526","37,140","37,107","37,324","37,494","37,241","36,254"
Traffic Crash Fatalities,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Vehicle Occupants,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Drivers,"18,250","18,816","18,717","17,615","16,470","16,520","16,838","16,474","16,864","17,670","19,279","21,717","22,831","23,237","23,158","23,352","23,625","22,914","22,914","22,971","22,654","22,730","22,572","22,370","21,596"
Passengers,"5,915","6,237","6,485","6,213","5,766","5,896","6,106","5,972","6,451","6,793","7,441","8,716","9,187","9,750","10,042","10,171","10,370","10,227","10,451","10,325","10,327","10,765","10,860","10,576","10,294"
Unknown,56,74,74,71,71,67,73,64,56,63,71,94,101,83,76,104,110,102,86,96,107,114,102,118,108
Sub Total1,"24,221","25,127","25,276","23,899","22,307","22,483","23,017","22,510","23,371","24,526","26,791","30,527","32,119","33,070","33,276","33,627","34,105","33,243","33,451","33,392","33,088","33,609","33,534","33,064","31,998"
  Motorcyclists,"4,985","5,229","5,337","5,029","4,594","4,692","4,986","4,630","4,518","4,469","5,312","5,174","4,837","4,576","4,028","3,714","3,270","3,197","2,897","2,483","2,294","2,116","2,161","2,227","2,320"
  Nonmotorists,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Pedestrians,"6,283","6,075","6,080","5,494","4,910","4,779","4,818","4,457","4,302","4,109","4,414","4,699","4,795","4,892","4,675","4,774","4,851","4,901","4,763","4,939","5,228","5,321","5,449","5,584","5,489"
Pedalcyclists,857,806,853,829,729,749,734,682,623,628,718,701,772,786,727,629,665,732,693,754,760,814,765,833,802
Other/ Unknown,214,236,260,233,204,190,227,200,185,151,188,158,185,186,130,140,114,123,141,149,131,153,154,109,107
Sub Total2,"7,354","7,117","7,193","6,556","5,843","5,718","5,779","5,339","5,110","4,888","5,320","5,558","5,752","5,864","5,532","5,543","5,630","5,756","5,597","5,842","6,119","6,288","6,368","6,526","6,398"
Total**,"36,560","37,473","37,806","35,484","32,744","32,893","33,782","32,479","32,999","33,883","37,423","41,259","42,708","43,510","42,836","42,884","43,005","42,196","41,945","41,717","41,501","42,013","42,065","41,817","40,716"
Other National Statistics,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Vehicle Miles Traveled (Billions),NA,"3,212","3,174","3,095","3,026","2,988","2,969","2,950","2,967","2,957","2,977","3,031","3,014","2,989","2,965","2,890","2,856","2,796","2,747","2,690","2,628","2,552","2,484","2,423","2,358"
Resident Population (Thousands),"327,167","325,147","323,071","320,743","318,386","316,058","313,874","311,580","309,326","306,772","304,094","301,231","298,380","295,517","292,805","290,108","287,625","284,969","282,162","272,691","270,248","267,784","265,229","262,803","260,327"
Registered Vehicles (Thousands),NA,"290,387","288,034","281,312","274,805","269,294","265,647","265,043","257,312","258,958","259,360","257,472","251,415","245,628","237,949","230,633","225,685","221,230","217,028","212,685","208,076","203,568","201,631","197,065","192,497"
Licensed Drivers (Thousands),NA,"225,346","221,712","218,084","214,092","212,160","211,815","211,875","210,115","209,618","208,321","205,742","202,810","200,549","198,889","196,166","194,602","191,276","190,625","187,170","184,861","182,709","179,539","176,628","175,403"
National Rates: Fatalities,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Fatalities per 100 Million Vehicle Miles Traveled,NA,1.17,1.19,1.15,1.08,1.1,1.14,1.1,1.11,1.15,1.26,1.36,1.42,1.46,1.44,1.48,1.51,1.51,1.53,1.55,1.58,1.65,1.69,1.73,1.73
"Fatalities per 100,000 Population",11.17,11.52,11.7,11.06,10.28,10.41,10.76,10.42,10.67,11.05,12.31,13.7,14.31,14.72,14.63,14.78,14.95,14.81,14.87,15.3,15.36,15.69,15.86,15.91,15.64
"Fatalities per 100,000 Registered Vehicles",NA,12.9,13.13,12.61,11.92,12.21,12.72,12.25,12.82,13.08,14.43,16.02,16.99,17.71,18,18.59,19.06,19.07,19.33,19.61,19.95,20.64,20.86,21.22,21.15
"Fatalities per 100,000 Licensed Drivers",NA,16.63,17.05,16.27,15.29,15.5,15.95,15.33,15.71,16.16,17.96,20.05,21.06,21.7,21.54,21.86,22.1,22.06,22,22.29,22.45,22.99,23.43,23.68,23.21
** Total fatalities for 1996 include 2 fatalities of unknown person type.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
