0,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
January,254,279,276,278,236,205,192,199,218,209,170,235,225,271,261,3508
February,229,256,221,224,223,198,186,178,168,168,204,169,211,211,231,3077
March,282,281,308,303,253,224,209,190,221,215,219,215,273,281,270,3744
April,240,295,266,263,234,214,179,189,211,174,184,210,248,255,245,3407
May,234,246,290,263,252,195,200,187,175,188,176,232,271,249,244,3402
June,239,232,248,221,234,189,172,174,163,166,169,220,232,240,234,3133
July,206,243,260,211,199,170,178,185,176,149,176,214,224,240,183,3014
August,216,247,212,228,207,180,156,154,181,172,181,219,245,197,210,3005
September,203,267,199,205,223,162,197,155,165,159,174,208,220,216,238,2991
October,266,271,268,240,236,209,203,192,185,192,208,241,261,221,283,3476
November,265,294,240,245,238,209,190,188,181,213,235,243,242,257,223,3463
December,293,265,292,262,228,214,199,221,209,218,240,293,283,287,293,3797
Total,2927,3176,3080,2943,2763,2369,2261,2212,2253,2223,2336,2699,2935,2925,2915,40017
,,,,,,,,,,,,,,,,
,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,,,
Total,3061,3066.333333,2928.666667,2691.666667,2464.333333,2280.666667,2242,2229.333333,2270.666667,2419.333333,2656.666667,2853,2925,,,
