"Crash Date (Year)","Crash Date (Month)",,,,,,,,,,,,
,"January","February","March","April","May","June","July","August","September","October","November","December","Total"
"2004",90,75,92,110,102,115,106,112,120,101,88,113,1224
"2005",84,71,78,104,114,110,125,106,101,120,113,107,1233
"2006",81,86,98,86,94,105,108,97,96,102,101,82,1136
"2007",101,82,80,88,89,101,116,100,98,93,84,94,1126
"2008",76,61,67,79,84,86,92,77,71,84,83,90,950
"2009",55,59,58,53,84,80,84,75,63,69,81,71,832
"2010",57,49,48,61,88,59,79,108,81,84,87,57,858
"2011",57,46,52,50,73,80,96,89,87,80,52,73,835
"2012",53,60,63,81,88,79,74,96,85,67,71,69,886
"2013",63,55,79,78,72,79,87,86,88,80,62,66,895
"2014",55,33,59,69,86,77,75,93,82,87,67,62,845
"2015",51,42,63,76,86,92,89,92,81,83,70,89,914
"2016",76,74,77,70,96,80,90,105,79,105,78,70,1000
"2017",63,70,58,83,94,101,102,103,98,81,73,72,998
"2018",87,54,71,68,95,77,104,89,95,68,76,64,948
"Total",1049,917,1043,1156,1345,1321,1427,1428,1325,1304,1186,1179,14680


