Crash Date (Year),Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,60030,58886,62218,59702,61700,59633,65286,57311,65876,69312,73229,69617,762800
2005,64879,58878,61641,59433,59517,66313,60922,59804,62752,62389,67394,69359,753283
2006,64504,58765,59464,57855,62238,66052,53341,58123,61725,66514,69422,70465,748470
2007,61226,57072,62867,61170,63226,60989,52615,57775,53713,69116,71108,71061,741936
2008,64154,58282,59535,54437,57549,55757,55933,57292,59917,66678,60708,76854,727096
2009,67241,59069,60033,60832,62967,60426,58554,59034,55328,71674,66755,67185,749097
2010,67876,56109,64017,62742,59075,67101,59695,66339,64948,73585,74681,83701,799867
2011,65684,58460,63837,56432,63731,58304,54149,61953,60282,72902,72004,78725,766463
2012,68019,67263,65589,59539,74686,72410,65804,69045,74851,73682,83537,80447,854872
2013,64931,63590,76643,67245,78392,69443,67665,73279,76571,84909,88808,77477,888951
2014,89973,70605,74990,64922,78957,75126,70707,75740,78308,86661,80775,90906,937670
2015,86369,75035,85613,75516,86470,76919,81869,81892,81635,97786,93864,89317,1012285
2016,93872,87245,98244,89901,88563,90261,77495,95127,88069,90056,84886,85473,1069190
2017,84792,76169,89265,88231,91578,88110,78150,86876,87176,101813,95791,98583,1066533
2018,94366,87847,97996,88525,100122,88890,90166,95944,99715,110557,101246,99583,1154956
Total,1097915,993274,1081951,1006482,1088772,1055733,992351,1055533,1070865,1197632,1184206,1208753,13033469
