National Highway Traffic Safety Administration (NHTSA) Motor Vehicle Crash Data Querying and Reporting,,,,,,,,,,,,,
Motor Vehicle Crashes,,,,,,,,,,,,,
Crashes,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,2939,2597,2877,3026,3438,3329,3499,3603,3254,3449,3145,3288,38444
2005,2817,2618,2885,3239,3318,3381,3761,3501,3424,3631,3436,3241,39252
2006,2931,2695,3042,3138,3345,3383,3527,3474,3348,3462,3168,3135,38648
2007,2732,2618,3092,3041,3312,3281,3460,3325,3235,3325,3066,2948,37435
2008,2575,2586,2549,2722,2887,3029,3018,3224,2860,3063,2829,2830,34172
2009,2377,2167,2349,2592,2780,2750,2787,2865,2650,2622,2512,2411,30862
2010,2101,1830,2213,2552,2704,2569,2852,2825,2799,2827,2587,2437,30296
2011,2088,1880,2220,2338,2578,2624,2910,2749,2633,2856,2494,2497,29867
2012,2283,2127,2487,2434,2672,2789,2833,2844,2735,2658,2602,2542,31006
2013,2230,1952,2356,2300,2532,2692,2660,2899,2741,2768,2615,2457,30202
2014,2168,1893,2245,2308,2596,2583,2696,2800,2618,2831,2714,2604,30056
2015,2371,1983,2401,2439,2869,2790,3021,3049,2904,3070,2780,2861,32538
2016,2354,2426,2694,2713,3005,3025,3025,3134,3154,3287,3041,2890,34748
2017,2625,2312,2689,2770,2915,3032,3237,2990,3108,3107,2903,2872,34560
2018,2626,2315,2610,2559,2965,3019,3045,2986,3022,3081,2743,2683,33654
Total,37217,33999,38709,40171,43916,44276,46331,46268,44485,46037,42635,41696,505740
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Estimated Injury Only Motor Vehicle Crashes,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,146514,143531,153775,150159,160043,157160,154697,156825,155541,161871,157861,163641,1861617
2005,144729,136802,156026,151798,159949,158124,153022,158751,151567,152050,141436,151851,1816105
2006,147436,133891,140562,142391,148030,144548,138235,142457,142256,165041,150059,151016,1745924
2007,136173,134597,142221,137741,148614,148120,141933,140750,138291,153732,144637,144495,1711304
2008,135726,141095,132145,134915,148460,137213,127895,130011,131247,137223,134368,140121,1630420
2009,132626,109225,128921,122714,139405,124743,131670,127292,122371,131126,116484,130497,1517075
2010,124049,111984,116145,119866,135397,130137,127735,141285,133896,144721,122653,134236,1542104
2011,128792,124331,119897,118979,130124,124572,118613,128800,129421,140653,131142,134643,1529968
2012,135730,123373,135869,120903,145303,137480,132018,141798,138689,147221,135812,139986,1634180
2013,113869,108691,126013,130749,136085,136404,133793,137460,131935,145528,151010,139479,1591016
2014,129948,122053,127331,132330,141117,134636,129001,147014,147449,155099,133030,148718,1647726
2015,140743,130424,141888,141133,142138,141482,148663,148962,141727,159505,137779,140951,1715394
2016,188192,176345,192515,181644,187919,180488,173535,195281,175487,174715,147918,142268,2116308
2017,150090,132043,165831,163444,170110,161182,153545,164534,155628,172528,149213,150378,1888525
2018,152614,136931,155167,146642,166957,155521,156797,168430,169119,169161,164671,151697,1893704
Total,2107232,1965315,2134307,2095409,2259650,2171809,2121153,2229650,2164623,2310173,2118073,2163977,25841371
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Estimated Property-Damage-Only (PDO) Motor Vehicle Crashes,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,412860,332012,335870,320238,335051,342461,333009,324677,336680,375350,398739,434019,4280966
2005,381005,345180,352552,330754,339448,337093,329774,335374,329377,373662,405643,444130,4303993
2006,356145,324574,335224,320758,352151,327784,313609,331285,346016,393549,400284,387264,4188641
2007,384771,361125,358010,329699,330635,335695,317107,341488,318696,385096,383758,429187,4275269
2008,372715,397402,345417,314610,327583,313665,298889,308521,302589,358747,372529,433587,4146254
2009,404279,317393,308388,292700,327553,309998,288665,308286,306236,354317,347170,392258,3957243
,,,,,,,,,,,,,
2010,339556,336364,311933,300726,312234,291729,274530,297306,298540,341581,345021,397524,3847045
2011,348841,318036,297981,284519,294830,286066,284507,301955,307732,339708,349655,364163,3777994
2012,333582,314344,303056,294791,327477,311418,301470,311746,324118,367977,371450,388430,3949858
2013,342798,331849,328900,307505,331728,305832,309210,323153,322878,379012,387868,394940,4065673
2014,450065,365468,365898,316521,339989,322971,329126,324752,341346,403247,430477,396643,4386502
2015,419296,383489,368893,337786,362913,342783,346704,341584,364551,422332,428596,429274,4548203
2016,461613,432119,406527,372625,387028,375706,353194,404425,365749,374666,359887,376535,4670073
2017,375508,332469,388764,355490,397796,358165,330905,369244,363461,417340,418371,422001,4529513
2018,428622,377468,400136,371310,411536,375208,358936,385545,380343,440424,454198,423330,4807058
Total,5811655,5269293,5207550,4850031,5177952,4936575,4769636,5009342,5008312,5727009,5853644,6113285,63734284
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total,,,,,,,,,,,,,
"
Crash Date (Year)",Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,562313,478140,492523,473423,498532,502950,491205,485105,495474,540670,559745,600948,6181027
2005,528551,484600,511463,485791,502715,498598,486556,497626,484368,529343,550515,599223,6159350
2006,506512,461160,478829,466287,503526,475714,455371,477216,491620,562052,553511,541415,5973213
2007,523677,498341,503323,470482,482561,487096,462500,485563,460222,542152,531461,576630,6024008
2008,511016,541083,480111,452247,478929,453907,429802,441756,436696,499033,509726,576539,5810846
2009,539283,428785,439658,418007,469738,437491,423122,438443,431257,488065,466166,525165,5505180
2010,465706,450178,430290,423144,450335,424436,405117,441417,435235,489129,470260,534197,5419445
2011,479721,444248,420099,405836,427532,413262,406030,433504,439786,483218,483290,501303,5337829
,,,,,,,,,,,,,
2012,471595,439843,441412,418128,475452,451687,436321,456387,465542,517855,509863,530958,5615045
2013,458896,442492,457269,440555,470346,444928,445664,463513,457554,527308,541492,536876,5686891
2014,582181,489414,495474,451159,483701,460190,460822,474566,491413,561177,566221,547965,6064284
