National Highway Traffic Safety Administration (NHTSA) Motor Vehicle Crash Data Querying and Reporting,,,,,,,,,,,,,
Motor Vehicle Crashes,,,,,,,,,,,,,
Filter Selected: Involving an Older Driver (Aged 65+): Yes;,,,,,,,,,,,,,
Crashes,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,465,377,474,470,480,506,460,538,480,563,518,548,5879
2005,487,407,456,469,487,552,538,496,468,528,503,530,5921
2006,447,374,452,446,489,508,480,466,488,531,475,510,5666
2007,424,417,476,439,462,472,486,469,472,527,482,464,5590
2008,402,387,386,425,458,468,432,462,421,484,478,478,5281
2009,384,353,376,420,467,432,479,447,440,404,449,445,5096
2010,385,279,406,470,426,456,471,473,511,471,465,444,5257
2011,366,312,390,400,390,461,485,469,439,490,467,497,5166
2012,420,371,420,437,438,462,479,482,472,471,517,471,5440
2013,433,369,406,422,465,488,473,534,519,510,447,492,5558
2014,391,341,397,414,492,490,484,497,480,547,529,512,5574
2015,471,357,443,437,521,538,603,558,522,560,549,551,6110
2016,474,451,529,510,540,591,550,571,632,668,584,602,6702
2017,504,453,525,521,552,630,643,559,586,605,591,605,6774
2018,499,465,505,517,653,590,596,616,585,618,575,559,6778
Total,6552,5713,6641,6797,7320,7644,7659,7637,7515,7977,7629,7708,86792
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Estimated Injury Only Motor Vehicle Crashes,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,18494,21220,21572,19646,19711,21863,18993,19106,23612,23955,24041,22278,254492
2005,22071,19266,19899,17045,21095,22203,20843,17646,21089,17747,15659,20377,234940
2006,22097,20191,21068,18593,19028,20929,19111,18098,18332,23005,18115,23164,241731
2007,21085,18214,19133,20652,18529,18866,18380,15689,17243,22297,19639,21451,231176
2008,17847,18188,19159,18102,19622,17242,17265,15763,16539,17374,17649,20408,215158
2009,18883,17918,19038,17694,17586,17983,19568,16546,17558,21175,17262,18920,220131
2010,22039,16817,19368,17767,20005,22714,18525,20110,18669,23598,18914,24491,243017
2011,18107,17466,19553,17816,19820,18045,17583,19376,17010,20884,19224,24573,229457
2012,21279,21351,20273,16876,22607,22186,19992,22631,22227,22164,24207,24144,259936
2013,19393,16678,19285,23660,22108,21321,21190,22408,22598,24150,28126,24511,265426
