National Highway Traffic Safety Administration (NHTSA) Motor Vehicle Crash Data Querying and Reporting,,,,,,,,,,,,,
Motor Vehicle Crashes,,,,,,,,,,,,,
Filter Selected: Involving a Young Driver (Aged 15-20): Yes;,,,,,,,,,,,,,
Crashes,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,595,516,516,567,699,679,712,753,631,699,613,619,7599
2005,448,452,537,605,631,687,728,640,606,653,630,544,7161
2006,523,511,565,574,665,634,696,633,606,622,599,552,7180
2007,521,457,575,522,618,632,655,595,530,575,526,505,6711
2008,409,393,440,463,489,494,538,513,448,482,500,482,5651
2009,385,325,386,444,464,478,470,456,426,402,396,330,4962
2010,285,271,328,362,438,390,446,401,408,407,365,339,4440
2011,275,253,306,335,380,369,426,403,321,438,363,357,4226
2012,304,275,352,336,354,415,384,373,379,364,320,323,4179
2013,267,235,299,302,302,375,393,379,367,329,317,286,3851
2014,259,217,296,275,341,316,345,382,320,328,364,320,3763
2015,275,254,294,336,390,387,375,412,360,412,351,349,4195
2016,269,281,358,346,395,426,372,413,389,422,391,350,4412
2017,286,249,328,332,395,421,405,389,364,400,347,340,4256
2018,284,261,356,319,365,371,362,329,372,362,329,290,4000
Total,5385,4950,5936,6118,6926,7074,7307,7071,6527,6895,6411,5986,76586
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Estimated Injury Only Motor Vehicle Crashes,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,40510,41312,44646,41491,42774,46103,44477,46159,43847,46483,40719,45393,523914
2005,37284,34869,43589,39060,42006,39060,40509,42793,41682,40471,36485,37079,474886
2006,39104,34150,34003,38396,42669,40804,37933,37836,38344,44839,39073,39585,466735
2007,34116,33134,37536,34015,40911,39891,35587,35887,35987,38173,37398,32904,435540
2008,29769,32117,32207,33587,38079,32799,29716,29247,32470,33128,31746,30905,385770
2009,28933,25170,30014,27670,38927,31387,26746,26264,29838,29365,25535,26577,346427
2010,27287,26844,26516,25894,32103,25436,27471,29634,33087,29363,26387,25606,335628
2011,26619,22199,25414,26554,28948,26001,26618,26461,29234,32319,26165,27792,324325
2012,25378,23030,29344,26128,32999,30813,25973,28454,27169,27488,28455,29985,335215
2013,22594,25127,23429,29879,30404,27826,28059,30632,23877,30594,30654,29894,332968
2014,23797,20952,26249,29720,30683,28510,26556,30089,29290,32993,25164,28283,332286
2015,25717,26193,29592,28099,31548,29653,31905,33148,32421,31725,28328,28518,356847
2016,41386,34987,36605,36348,40148,38466,34736,38934,37468,39101,28254,29886,436319
2017,29190,25621,36147,33387,37073,35909,31451,31775,34296,35767,28620,30454,389690
2018,27837,23725,31298,29289,31496,28194,30099,34207,31742,30605,30763,30015,359268
Total,459522,429429,486588,479517,540770,500850,477837,501519,500752,522414,463744,472877,5835818
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Estimated Property-Damage-Only (PDO) Motor Vehicle Crashes,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,115064,101564,106251,99907,106093,106139,101451,104259,100552,111570,115055,116673,1284578
2005,86058,78259,87142,85167,90178,85149,90697,85803,90440,95238,94583,106491,1075205
2006,82295,82361,76134,82605,88339,79104,78551,85708,86631,89664,84092,90280,1005763
2007,96904,89182,90076,80539,88175,81764,73435,88367,76802,96589,87707,97206,1046747
2008,75767,86444,79907,73237,72934,72698,62530,61662,71843,79502,83132,92406,912060
2009,89852,74238,67031,68466,73824,75275,62745,71623,64560,81154,74700,77869,881336
2010,80405,74717,70342,70736,71636,63951,62976,65834,72840,75184,72128,89631,870379
2011,74389,67494,62021,63668,64488,62460,62790,65715,69740,68897,72206,78088,811955
2012,67849,67461,65232,62516,68313,66303,73093,61256,74655,76071,72200,72915,827866
2013,72092,72739,66815,71944,68688,62122,68614,63868,69268,78055,75570,78913,848687
2014,90271,70425,65208,68533,71700,71114,64796,65069,71860,85457,85968,77182,887582
2015,86051,72923,73130,71716,74790,74942,75869,72440,80278,96787,84590,84535,948050
2016,92788,84470,80088,71054,93759,78088,74927,96122,71763,77849,74344,72976,968228
2017,75088,65891,80485,80858,84001,77053,68160,75606,74171,86079,85798,80494,933686
2018,87537,67653,78218,71352,80895,71015,78214,84040,79509,79650,90711,87118,955913
Total,1272412,1155819,1148081,1122297,1197815,1127175,1098849,1147371,1154910,1277745,1252784,1302777,14258035
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,156169,143392,151413,141965,149565,152921,146640,151172,145030,158752,156386,162685,1816091
2005,123789,113581,131267,124832,132815,124896,131934,129236,132728,136362,131698,144114,1557253
2006,121922,117022,110702,121574,131674,120541,117180,124177,125581,135125,123763,130417,1479678
2007,131542,122772,128188,115077,129705,122286,109677,124848,113319,135338,125631,130616,1488997
2008,105945,118954,112554,107287,111502,105990,92784,91422,104761,113111,115378,123793,1303482
2009,119171,99732,97432,96580,113215,107140,89961,98342,94824,110921,100631,104776,1232725
2010,107977,101832,97186,96992,104177,89777,90892,95869,106335,104953,98880,115576,1210448
2011,101283,89946,87741,90557,93816,88830,89835,92579,99295,101654,98734,106237,1140507
2012,93531,90766,94928,88980,101667,97531,99450,90083,102203,103923,100975,103224,1167260
2013,94953,98101,90542,102124,99395,90323,97066,94879,93512,108978,106541,109093,1185506
2014,114327,91594,91753,98527,102725,99940,91697,95541,101469,118778,111495,105785,1223631
2015,112043,99370,103016,100151,106728,104982,108149,105999,113059,128924,113269,113402,1309092
2016,134443,119737,117051,107748,134302,116980,110035,135469,109620,117372,102990,103211,1408959
2017,104565,91761,116960,114577,121469,113383,100016,107769,108831,122246,114765,111289,1327631
,,,,,,,,,,,,,
2018,115658,91639,109872,100960,112756,99580,108675,118576,111622,110617,121802,117423,1319180
Total,1737318,1590198,1640605,1607931,1745511,1635099,1583993,1655961,1662190,1807054,1722939,1781640,20170439
