National Highway Traffic Safety Administration (NHTSA) Motor Vehicle Crash Data Querying and Reporting,,,,,,,,,,,,,
Motor Vehicle Crashes,,,,,,,,,,,,,
State: New Hampshire ,,,,,,,,,,,,,
Crashes,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes,,,,,,,,,,,,,
,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,14,4,9,5,12,19,18,26,7,19,13,12,158
2005,14,7,5,13,9,20,16,21,15,13,12,11,156
2006,7,3,9,4,6,14,12,9,16,15,7,14,116
2007,8,9,6,15,13,9,13,12,11,10,11,5,122
2008,3,8,2,12,8,22,17,21,8,11,8,7,127
2009,6,4,5,12,10,7,8,11,8,11,9,6,97
2010,13,6,7,10,15,15,9,8,14,10,8,5,120
2011,6,2,7,6,11,9,7,5,4,10,7,10,84
2012,8,4,4,7,8,10,6,22,11,6,7,8,101
2013,6,8,5,9,8,10,9,17,12,15,13,12,124
2014,6,7,4,2,7,15,8,8,5,7,13,7,89
2015,5,4,4,4,14,5,15,10,11,9,8,14,103
2016,12,1,10,12,11,11,16,9,14,13,14,7,130
2017,8,7,9,8,11,9,9,2,13,8,6,8,98
2018,7,5,7,9,11,12,20,11,15,10,15,12,134
Total,123,79,93,128,154,187,183,192,164,167,151,138,1759
