National Highway Traffic Safety Administration (NHTSA) Motor Vehicle Crash Data Querying and Reporting,,,,,,,,,,,,,
Motor Vehicle Crashes,,,,,,,,,,,,,
State: New York ,,,,,,,,,,,,,
Crashes,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes,,,,,,,,,,,,,
,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,116,83,92,93,112,126,147,121,125,118,104,135,1372
2005,92,82,78,113,105,120,150,138,129,107,110,108,1332
2006,101,92,79,85,95,142,133,138,125,134,115,110,1349
2007,75,85,85,80,100,114,112,145,115,142,104,80,1237
2008,87,83,75,105,95,101,126,125,86,101,96,94,1174
2009,69,60,75,95,109,87,93,122,92,94,92,81,1069
2010,98,56,77,95,90,104,109,96,118,102,104,79,1128
2011,73,57,71,86,71,106,126,95,90,109,108,101,1093
2012,81,78,78,80,99,111,118,100,96,73,86,96,1096
2013,91,74,72,76,77,112,108,120,109,96,88,101,1124
2014,88,42,50,86,75,93,101,100,94,91,89,71,980
2015,94,43,47,70,121,75,107,113,93,108,92,98,1061
2016,72,68,65,67,85,94,82,89,106,87,72,94,981
2017,74,61,58,77,73,76,100,96,98,80,81,65,939
2018,49,61,54,53,68,93,83,97,101,65,83,82,889
,,,,,,,,,,,,,
Total,1260,1025,1056,1261,1375,1554,1695,1695,1577,1507,1424,1395,16824
