National Highway Traffic Safety Administration (NHTSA) Motor Vehicle Crash Data Querying and Reporting,,,,,,,,,,,,,
Motor Vehicle Crashes,,,,,,,,,,,,,
State: Wyoming ,,,,,,,,,,,,,
Crashes,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes,,,,,,,,,,,,,
,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,7,8,8,16,14,10,12,18,9,14,11,15,142
2005,9,10,15,11,10,17,13,18,14,9,11,10,147
2006,10,9,13,10,10,15,19,20,16,17,14,16,169
2007,11,11,8,9,12,10,17,16,10,12,10,11,137
2008,11,6,8,2,7,15,18,20,16,11,12,13,139
2009,4,11,6,9,9,15,12,17,7,6,11,9,116
2010,4,8,5,8,9,17,13,25,13,12,16,9,139
2011,3,6,11,4,12,11,19,14,12,7,13,8,120
2012,7,4,9,9,9,13,11,14,10,10,9,7,112
2013,3,6,10,7,6,8,8,4,7,6,5,5,75
2014,7,3,11,9,15,10,18,15,15,9,14,5,131
2015,9,4,7,13,12,13,18,18,8,10,11,6,129
2016,5,3,3,3,11,14,10,22,11,7,8,3,100
2017,6,4,8,12,7,18,14,17,7,3,5,4,105
2018,5,4,11,6,10,7,13,8,15,11,5,5,100
Total,101,97,133,128,153,193,215,246,170,144,155,126,1861
