State,Year,Crash Count,Total Fatalities
California,2010,2504,2720
California,2011,2617,2816
California,2012,2733,2966
California,2013,2860,3107
California,2014,2859,3102
California,2015,3123,3387
California,2016,3540,3837
California,2017,3569,3884
California,2018,3259,3563
Colorado,2010,411,450
Colorado,2011,407,447
Colorado,2012,434,474
Colorado,2013,432,482
Colorado,2014,451,488
Colorado,2015,507,547
Colorado,2016,558,608
Colorado,2017,600,648
Colorado,2018,588,632
Florida,2010,2261,2444
Florida,2011,2212,2400
Florida,2012,2253,2431
Florida,2013,2223,2403
Florida,2014,2336,2494
Florida,2015,2699,2938
Florida,2016,2935,3176
Florida,2017,2925,3116
Florida,2018,2915,3133
Illinois,2010,858,927
Illinois,2011,835,918
Illinois,2012,886,956
Illinois,2013,895,991
Illinois,2014,845,924
Illinois,2015,914,998
Illinois,2016,1000,1078
Illinois,2017,998,1090
Illinois,2018,948,1031
New York,2010,1128,1201
New York,2011,1093,1171
New York,2012,1096,1180
New York,2013,1124,1202
New York,2014,980,1041
New York,2015,1061,1136
New York,2016,981,1041
New York,2017,939,1006
New York,2018,889,943
Ohio,2010,984,1080
Ohio,2011,942,1017
Ohio,2012,1022,1121
Ohio,2013,917,989
Ohio,2014,917,1006
Ohio,2015,1029,1110
Ohio,2016,1053,1132
Ohio,2017,1094,1179
Ohio,2018,996,1068
Pennsylvania,2010,1208,1324
Pennsylvania,2011,1191,1286
Pennsylvania,2012,1211,1310
Pennsylvania,2013,1119,1210
Pennsylvania,2014,1107,1195
Pennsylvania,2015,1102,1200
Pennsylvania,2016,1088,1188
Pennsylvania,2017,1083,1137
Pennsylvania,2018,1103,1190
Texas,2010,2746,3023
Texas,2011,2790,3054
Texas,2012,3033,3408
Texas,2013,3047,3389
Texas,2014,3190,3536
Texas,2015,3190,3582
Texas,2016,3427,3797
Texas,2017,3352,3732
Texas,2018,3305,3642
Utah,2010,218,253
Utah,2011,224,243
Utah,2012,200,217
Utah,2013,202,220
Utah,2014,222,256
Utah,2015,258,278
Utah,2016,259,281
Utah,2017,247,273
Utah,2018,237,260
