App,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Facebook,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,276000000.0,517750000.0,766000000.0,979750000.0,1170500000.0,1334000000.0,1516750000.0,1753500000.0,2035750000.0,2255250000.0,2375000000.0
Flickr,0.0,0.0,3675135.0,7399354.0,14949270.0,29299875.0,30000000.0,41834525.0,54708063.0,66954600.0,79664888.0,80000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Friendster,3000000.0,4470000.0,5970054.0,7459742.0,8989854.0,24253200.0,51008911.0,28804331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Google Buzz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166029650.0,170000000.0,170000000.0,170000000.0,170000000.0,170000000.0,0.0,0.0,0.0,0.0
Google+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107319100.0,205654700.0,254859015.0,298950015.0,398648000.0,495657000.0,430000000.0,0.0
Google Messenger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17460000.0
Hi5,0.0,0.0,0.0,9731610.0,19932360.0,29533250.0,55045618.0,57893524.0,59953290.0,46610848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117500000.0,250000000.0,400000000.0,550000000.0,750000000.0,1000000000.0,0.0
MySpace,0.0,0.0,980036.0,19490059.0,54763260.0,69299875.0,72408233.0,70133095.0,68046710.0,46003536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orkut,0.0,0.0,4900180.0,9865805.0,14966180.0,26916562.0,44357628.0,47366905.0,49941613.0,47609080.0,45067022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinterest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143250000.0,195000000.0,246500000.0,291000000.0
Reddit,0.0,0.0,0.0,0.0,248309.0,488331.0,1944940.0,3893524.0,135786956.0,163346676.0,238972480.0,297394200.0,355000000.0,0.0,0.0,0.0,0.0,0.0
SnapChat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238648000.0,0.0,45980000.0,0.0
TikTok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239142500.0,500000000.0,0.0
Tumblr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146890156.0,293482050.0,388721163.0,475923363.0,565796720.0,593783960.0,624000000.0,0.0
Twitter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92750000.0,160250000.0,223675000.0,223675000.0,304500000.0,314500000.0,328250000.0,329500000.0,330000000.0
WeChat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47818400.0,118123370.0,196523760.0,444232415.0,660843407.0,847512320.0,921742750.0,1000000000.0,0.0
Weibo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19532900.0,48691040.0,79195730.0,118261880.0,154890345.0,208716685.0,281026560.0,357569030.0,431000000.0,0.0
WhatsApp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000000.0,498750000.0,800000000.0,1000000000.0,1333333333.0,0.0,106400000.0
YouTube,0.0,0.0,0.0,1946322.0,19878248.0,143932250.0,294493950.0,413611440.0,480551990.0,642669824.0,844638200.0,1065223075.0,1249451725.0,1328133360.0,1399053600.0,1495657000.0,1900000000.0,0.0
Total,3000000.0,4470000.0,15525405.0,55892892.0,133727481.0,323723343.0,649259280.0,939537344.0,1552301172.0,2138454004.0,2969870946.0,4238214665.0,5323579663.0,6163816830.0,7491935200.0,8745885573.0,8762230000.0,3119860000.0
