Crash Date (Year),Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,354406,285149,287581,280460,296390,300498,288661,286962,293667,321914,338506,378275,3712470
2005,348658,320540,329320,308762,319128,317727,302416,319884,299088,335831,360969,394917,3957242
2006,330074,292749,315989,295123,318958,299262,292386,305696,311525,368551,368665,348725,3847704
2007,339619,325740,322812,303289,301029,313065,306622,311326,301863,346639,342171,384155,3898331
2008,349521,371119,315453,299046,318926,297673,287412,301500,279912,328074,342916,384328,3875878
2009,361042,277017,290292,268492,301642,277114,282655,287907,287223,315565,305719,358714,3613381
2010,299408,299220,277548,270772,292989,275283,260923,284696,270009,318988,304598,346234,3500668
2011,320289,301909,274856,265277,277332,273167,268514,286216,288184,315809,320022,325282,3516857
2012,317438,289732,288145,274043,305780,289322,280190,304012,297714,347176,334251,356099,3683902
2013,304870,289272,299318,279407,301613,293435,288920,302770,298192,346950,354994,358324,3718066
2014,387429,335284,336121,295379,312884,294396,306525,310052,319069,367281,381885,359637,4005942
2015,375681,351444,333121,313965,324397,313416,317865,317036,324301,368837,371995,378818,4090877
2016,435387,411516,394406,368752,365876,360933,351362,385634,355540,355350,333178,342007,4459939
2017,348902,306013,362665,327275,369128,331467,315253,352818,335811,378699,371366,374312,4173708
2018,384915,344628,361884,340219,379048,352855,330879,354812,352778,403125,408152,370183,4383478
Total,5257639,4801334,4789512,4490262,4785120,4589611,4480582,4711321,4614876,5218790,5239388,5460010,58438444
